Release 6.1i - Fit G.36
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10- 8-2004  0:50AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  sevenseg.ngd
output file: sevenseg_pad.csv
Part type:   xc95108
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,Ae,I,I/O,INPUT,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,TIE,,I/O/GCK1,,,,,,,,,,
P10,TIE,,I/O/GCK2,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,TIE,,I/O/GCK3,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,Zf,O,I/O,OUTPUT,,,,,,,,,
P15,Za,O,I/O,OUTPUT,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,Zg,O,I/O,OUTPUT,,,,,,,,,
P18,Zb,O,I/O,OUTPUT,,,,,,,,,
P19,Ze,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,Zd,O,I/O,OUTPUT,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,Zc,O,I/O,OUTPUT,,,,,,,,,
P24,Zdp,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,Ac,I,I/O,INPUT,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,Aa,I,I/O,INPUT,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,Adp,I,I/O,INPUT,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,Ab,I,I/O,INPUT,,,,,,,,,
P54,TIE,,I/O,,,,,,,,,,
P55,TIE,,I/O,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,TIE,,I/O,,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,TIE,,I/O,,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,Ad,I,I/O,INPUT,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,Af,I,I/O,INPUT,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,TIE,,I/O/GSR,,,,,,,,,,
P75,TIE,,I/O,,,,,,,,,,
P76,Enable,GTS,I/O/GTS1,,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,TIE,,I/O,,,,,,,,,,
P82,TIE,,I/O,,,,,,,,,,
P83,Ag,I,I/O,INPUT,,,,,,,,,
P84,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


